player_name,team,position,games_played,tackles,solo_tackles,assists,sacks,qb_hits,tackles_for_loss,passes_defended,interceptions,forced_fumbles,fumble_recoveries,defensive_tds,player_id
Myles Garrett,CLE,DE,17,52,38,14,14.0,28,18,4,0,4,1,0,1
T.J. Watt,PIT,OLB,17,60,42,18,13.5,26,19,5,1,5,2,1,2
Micah Parsons,DAL,OLB,16,55,39,16,13.0,25,17,3,0,3,1,0,3
Nick Bosa,SF,DE,17,48,35,13,12.5,27,16,3,0,3,2,0,4
Maxx Crosby,LV,DE,17,67,46,21,11.0,24,20,5,0,4,1,0,5
Trey Hendrickson,CIN,DE,17,50,36,14,14.5,29,17,2,0,5,1,1,6
Josh Hines-Allen,JAX,OLB,17,58,40,18,11.5,22,16,4,1,3,0,0,7
Danielle Hunter,HOU,DE,16,45,33,12,10.5,21,14,2,0,2,1,0,8
Khalil Mack,LAC,OLB,15,42,30,12,9.0,18,13,2,0,3,1,0,9
Will Anderson Jr.,HOU,DE,17,56,40,16,12.0,23,18,3,0,4,2,1,10
Rashan Gary,GB,OLB,17,53,37,16,10.0,20,15,3,0,2,0,0,11
Aidan Hutchinson,DET,DE,9,28,20,8,7.5,14,9,1,0,2,1,0,12
Chris Jones,KC,DT,17,45,30,15,10.5,22,14,3,0,2,1,0,13
Quinnen Williams,NYJ,DT,17,50,33,17,9.0,19,15,4,0,1,0,0,14
Dexter Lawrence,NYG,DT,17,58,38,20,8.5,20,13,2,0,2,1,0,15
Jalen Carter,PHI,DT,17,47,31,16,7.5,18,12,3,0,1,1,0,16
Cameron Heyward,PIT,DT,16,54,35,19,6.0,15,10,4,0,1,0,0,17
Javon Hargrave,SF,DT,15,38,25,13,6.5,14,9,1,0,1,1,0,18
Vita Vea,TB,NT,17,40,24,16,4.5,12,8,1,0,1,0,0,19
Grady Jarrett,ATL,DT,16,46,30,16,5.5,13,11,2,0,2,1,0,20
Fred Warner,SF,ILB,17,130,85,45,3.0,8,12,9,3,1,1,1,21
