player_name,team,position,games_played,fg_made,fg_attempts,fg_pct,fg_made_40_49,fg_made_50_plus,long_fg,xp_made,xp_attempts,xp_pct,total_points,player_id
Chris Boswell,PIT,K,17,36,40,90.0,12,8,57,48,49,97.96,156,1
Brandon Aubrey,DAL,K,17,34,37,91.89,11,9,60,43,44,97.73,145,2
Justin Tucker,BAL,K,17,33,36,91.67,10,7,56,44,46,95.65,143,3
Harrison Butker,KC,K,16,31,34,91.18,9,6,55,47,48,97.92,140,4
Ka'imi Fairbairn,HOU,K,17,32,36,88.89,10,7,58,41,42,97.62,137,5
Jake Elliott,PHI,K,17,30,33,90.91,9,6,54,45,46,97.83,135,6
Cameron Dicker,LAC,K,17,31,35,88.57,8,7,56,40,41,97.56,133,7
Younghoe Koo,ATL,K,17,29,32,90.63,9,5,53,44,45,97.78,131,8
Daniel Carlson,LV,K,17,30,34,88.24,10,6,55,38,40,95.0,128,9
Evan McPherson,CIN,K,16,28,31,90.32,8,5,54,43,44,97.73,127,10
Jason Myers,SEA,K,17,29,33,87.88,9,6,56,39,40,97.5,126,11
Tyler Bass,BUF,K,17,28,32,87.5,8,5,53,41,43,95.35,125,12
Matt Gay,IND,K,17,27,31,87.1,8,5,52,42,43,97.67,123,13
Jake Moody,SF,K,16,27,30,90.0,7,5,55,40,42,95.24,121,14
Dustin Hopkins,CLE,K,17,28,33,84.85,9,4,51,37,38,97.37,121,15
Wil Lutz,DEN,K,17,26,30,86.67,8,5,54,41,42,97.62,119,16
Jason Sanders,MIA,K,17,27,31,87.1,7,4,52,38,40,95.0,119,17
Nick Folk,TEN,K,17,26,29,89.66,7,4,51,39,41,95.12,117,18
Cairo Santos,CHI,K,17,25,29,86.21,8,4,53,40,41,97.56,115,19
Chase McLaughlin,TB,K,17,26,31,83.87,7,5,54,36,37,97.3,114,20
Graham Gano,NYG,K,15,24,28,85.71,7,3,51,38,39,97.44,110,21
Riley Patterson,DET,K,17,25,29,86.21,6,4,52,35,36,97.22,110,22
Greg Zuerlein,NYJ,K,16,24,29,82.76,7,4,53,37,39,94.87,109,23
Joey Slye,WAS,K,17,23,28,82.14,6,4,54,38,40,95.0,107,24
Matt Prater,ARI,K,15,23,27,85.19,7,4,55,36,37,97.3,105,25
Blake Grupe,NO,K,17,24,30,80.0,6,3,51,33,34,97.06,105,26
Eddy Piñeiro,CAR,K,17,22,27,81.48,5,3,52,37,39,94.87,103,27
Anders Carlson,GB,K,16,22,28,78.57,6,3,50,35,37,94.59,101,28
Chad Ryland,NE,K,17,21,27,77.78,5,3,51,36,38,94.74,99,29
Matthew Wright,KC,K,8,10,12,83.33,3,2,52,18,19,94.74,48,30
