player_name,team,position,games_played,pass_attempts,completions,completion_pct,pass_yards,pass_tds,interceptions,passer_rating,yards_per_attempt,sacks,sack_yards,first_downs,fumbles,int_rate_inv,sack_rate_inv,fumbles_inv,player_id
Lamar Jackson,BAL,QB,17,487,312,64.07,4102,34,8,101.3,8.4,28,196,198,6,98.36,94.25,100,1
Josh Allen,BUF,QB,17,594,378,63.64,4478,38,12,99.2,7.5,33,231,241,5,97.98,94.44,100,2
Patrick Mahomes,KC,QB,17,578,369,63.84,4356,32,11,97.8,7.5,29,203,228,4,98.10,94.98,100,3
Jalen Hurts,PHI,QB,16,460,289,62.83,3487,24,9,93.1,7.6,34,238,178,8,98.04,92.61,100,4
Joe Burrow,CIN,QB,17,567,374,65.96,4612,39,10,104.7,8.1,30,210,245,3,98.24,94.71,100,5
Dak Prescott,DAL,QB,14,453,287,63.36,3312,22,13,85.4,7.3,26,182,168,5,97.13,94.26,100,6
Tua Tagovailoa,MIA,QB,13,398,267,67.09,3018,19,7,97.5,7.6,21,147,152,3,98.24,94.72,100,7
Jordan Love,GB,QB,16,536,338,63.06,3945,28,14,89.6,7.4,31,217,196,6,97.39,94.22,100,8
C.J. Stroud,HOU,QB,17,561,354,63.10,4189,30,11,94.2,7.5,38,266,210,4,98.04,93.23,100,9
Brock Purdy,SF,QB,17,516,342,66.28,4087,29,9,100.5,7.9,24,168,207,3,98.26,95.35,100,10
Jared Goff,DET,QB,17,555,370,66.67,4298,31,10,101.8,7.7,22,154,221,2,98.20,96.04,100,11
Justin Herbert,LAC,QB,17,542,347,64.02,4023,27,10,93.9,7.4,32,224,199,5,98.15,94.10,100,12
Kirk Cousins,ATL,QB,15,478,304,63.60,3356,21,14,82.7,7.0,25,175,165,4,97.07,94.77,100,13
Trevor Lawrence,JAX,QB,16,502,310,61.75,3578,22,13,83.9,7.1,35,245,174,7,97.41,93.03,100,14
Anthony Richardson,IND,QB,12,348,198,56.90,2467,18,11,78.3,7.1,29,203,118,9,96.84,91.67,100,15
Geno Smith,SEA,QB,17,564,362,64.18,4012,25,12,91.0,7.1,42,294,201,5,97.87,92.55,100,16
Matthew Stafford,LAR,QB,16,498,316,63.45,3724,26,11,92.4,7.5,28,196,187,4,97.79,94.38,100,17
Baker Mayfield,TB,QB,17,548,341,62.23,4156,30,14,90.1,7.6,30,210,206,6,97.45,94.53,100,18
Sam Darnold,MIN,QB,17,532,334,62.78,3876,24,16,83.5,7.3,27,189,188,7,96.99,94.92,100,19
Caleb Williams,CHI,QB,17,526,318,60.46,3645,23,13,82.1,6.9,40,280,176,8,97.53,92.40,100,20
Drake Maye,NE,QB,15,445,269,60.45,3012,19,12,80.6,6.8,36,252,148,6,97.30,91.91,100,21
Daniel Jones,NYG,QB,11,342,204,59.65,2187,12,10,73.2,6.4,30,210,104,7,97.08,91.23,100,22
Bryce Young,CAR,QB,14,412,248,60.19,2734,16,11,78.9,6.6,33,231,132,5,97.33,91.99,100,23
Russell Wilson,PIT,QB,16,475,296,62.32,3398,23,12,88.1,7.2,26,182,168,4,97.47,94.53,100,24
Jayden Daniels,WAS,QB,17,508,332,65.35,3945,27,8,100.1,7.8,25,175,198,5,98.43,95.08,100,25
Bo Nix,DEN,QB,17,519,321,61.85,3567,22,13,83.8,6.9,31,217,172,6,97.50,94.03,100,26
Aidan O'Connell,LV,QB,13,389,237,60.93,2645,15,11,76.4,6.8,28,196,128,5,97.17,92.80,100,27
Will Levis,TEN,QB,12,367,218,59.40,2398,14,13,71.8,6.5,32,224,112,8,96.46,91.28,100,28
Derek Carr,NO,QB,14,438,278,63.47,3045,18,12,83.0,7.0,29,203,152,4,97.26,93.38,100,29
Gardner Minshew,LV,QB,10,312,192,61.54,2134,12,9,78.1,6.8,22,154,98,4,97.12,92.95,100,30
Aaron Rodgers,NYJ,QB,13,402,254,63.18,2876,20,8,93.8,7.2,24,168,142,3,98.01,94.03,100,31
Kyler Murray,ARI,QB,16,498,308,61.85,3612,24,12,88.4,7.3,35,245,178,7,97.59,92.97,100,32
