player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Calais Campbell,4364,DI,ARZ,17,1,,,0.6,,,1,0,0,,1,69.2,72.2,73.1,65.1,69.2,35.5,0,,37.5,3,0,1,0.0,0,2,341,8,4,0,0,0,0,0.0,
Jason Pierre-Paul,5540,ED,TB,3,0,,,12.0,,,0,0,0,,30,61.8,37.2,77.1,57.4,28.7,20.3,0,,,0,0,0,0.0,0,3,25,0,0,0,0,0,0,0.0,
Von Miller,6154,ED,WAS,17,1,0.5,100.0,4.0,5.5,5.5,0,0,0,0.0,32,47.1,64.4,70.4,62.4,67.2,47.7,0,6,20.0,1,0,1,79.2,2,12,301,9,3,2,0,6,5,0.5,3.0
Cameron Jordan,6176,ED,NO,17,1,0.7,100.0,5.1,5.7,5.7,0,0,0,0.0,20,76.9,76.0,88.3,59.5,82.1,73.0,0,12,30.0,3,0,0,95.8,3,18,354,15,6,3,0,21,19,1.2,7.0
Cameron Heyward,6183,DI,PIT,18,1,,,1.1,,,1,0,0,,25,67.2,90.4,50.4,85.6,84.4,69.8,0,,11.1,1,0,4,0.0,0,6,538,9,7,0,0,0,0,0.0,
Bobby Wagner,7050,LB,WAS,17,9,4.1,74.6,88.4,12.6,9.4,1,0,2,3.4,32,51.1,78.6,48.5,92.4,90.3,90.5,2,69,7.8,4,2,2,107.2,44,588,665,17,38,59,3,569,421,1.0,12.9
Lavonte David,7060,LB,TB,17,11,6.0,85.5,85.8,9.3,7.9,1,1,2,2.9,30,45.1,52.6,86.6,48.6,66.2,48.3,1,24,22.7,15,2,3,132.4,59,576,671,20,40,69,8,549,297,1.0,9.3
Demario Davis,7079,LB,NO,17,7,2.3,93.8,88.1,11.0,10.3,0,0,2,4.2,20,70.3,81.4,70.5,57.4,88.9,67.1,0,22,15.9,7,2,2,112.2,45,517,587,16,30,48,2,364,277,0.7,8.1
Harrison Smith,7641,S,MIN,15,2,8.6,75.0,89.8,17.5,13.1,0,1,3,10.7,18,69.0,68.9,63.5,71.5,61.7,45.6,2,30,17.6,6,3,2,81.0,21,388,432,10,26,28,1,230,104,0.6,11.0
Darius Slay,7817,CB,PIT,10,4,10.9,70.0,99.7,11.0,7.7,0,1,5,12.5,25,58.6,58.3,84.9,60.0,54.2,50.6,0,81,10.0,3,3,0,126.7,28,329,330,5,23,40,3,396,166,1.3,14.1
John Jenkins,7863,DI,BLT,17,0,,,1.2,,,0,0,0,,3,59.9,64.7,74.2,66.3,60.3,52.8,0,,100.0,1,0,1,0.0,0,3,258,1,0,0,0,0,0,0.0,
Jordan Poyer,8000,S,BUF,11,4,6.5,69.2,98.2,22.9,15.8,0,1,2,15.4,4,62.8,68.6,81.3,71.7,71.5,63.3,1,20,16.0,4,2,1,82.5,9,222,226,3,17,13,1,91,65,0.4,10.1
Tony Jefferson,8361,S,LAC,14,6,11.7,64.3,96.6,36.4,23.4,0,0,3,21.4,27,72.6,70.8,35.3,71.7,61.0,60.7,4,20,8.1,3,3,1,34.5,9,346,358,8,28,14,0,62,43,0.2,6.9
Jadeveon Clowney,8636,ED,DAL,13,0,,,1.7,,,1,0,0,,9,62.9,79.2,25.7,80.6,70.6,54.1,0,,60.0,3,0,4,0.0,0,4,231,10,2,0,0,0,0,0.0,
Khalil Mack,8640,ED,LAC,13,0,3.0,100.0,4.8,4.7,4.7,0,0,0,0.0,27,74.7,79.2,88.1,67.5,77.2,55.9,0,6,33.3,2,0,0,83.3,3,15,311,9,4,3,0,12,3,0.9,4.0
DeMarcus Lawrence,8669,ED,SEA,19,2,3.5,100.0,3.0,7.5,7.5,1,0,0,0.0,29,84.9,82.1,82.2,64.5,83.7,33.0,0,15,52.4,11,0,2,118.8,2,15,502,13,8,2,0,28,21,1.9,14.0
Kyle Van Noy,8675,ED,BLT,15,0,7.3,50.0,12.9,23.5,11.8,0,0,1,25.0,3,83.2,61.7,57.4,51.8,72.5,53.9,1,13,25.0,2,1,2,27.1,2,50,388,7,6,4,0,22,11,0.5,11.0
Brent Urban,8769,DI,BLT,15,1,,,2.9,,,0,0,0,,3,60.3,58.6,62.8,51.1,63.7,37.8,0,,0.0,0,0,1,0.0,0,4,137,2,1,0,0,0,0,0.0,
Shelby Harris,8869,DI,CLV,17,0,,,0.4,,,0,0,0,,8,62.6,61.9,30.5,60.8,64.4,39.3,0,,25.0,1,0,4,0.0,0,1,261,2,3,0,0,0,0,0.0,
Mike Pennel,9316,DI,KC,16,1,,,0.7,,,0,0,0,,16,66.5,55.2,85.3,51.0,55.6,66.2,0,,0.0,0,0,0,0.0,0,1,139,0,1,0,0,0,0,0.0,
