player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,DI,ARZ,17,9,2,,1,0,1,0,0,69.2,72.2,73.1,65.1,69.2,35.5,9,18,0,0,,16.7,7,0,1,0.0,0,6,0,3,0,2,524,521,6,258,40,217,0,3,339,183,0,24,26,3,0,33,0,0,0,
Brandon Graham,5538,ED,PHI,10,2,0,,0,0,24,0,0,60.0,58.0,80.8,58.5,59.9,29.8,0,8,0,0,,37.5,3,0,0,0.0,0,3,0,0,0,0,120,119,0,17,69,33,0,1,69,51,1,6,3,0,0,11,0,0,0,
Jason Pierre-Paul,5540,ED,TB,3,0,1,,0,0,30,0,0,61.8,37.2,77.1,57.4,28.7,20.3,0,0,0,0,,100.0,2,0,0,0.0,0,0,0,0,0,3,38,38,0,0,37,1,0,0,22,13,0,0,0,0,0,0,0,0,0,
Von Miller,6154,ED,WAS,17,2,0,100.0,0,0,32,0,0,47.1,64.4,70.4,62.4,67.2,47.7,4,22,0,0,6,20.0,4,0,1,79.2,2,10,0,2,0,12,420,417,0,0,417,0,0,3,289,119,1,17,14,0,2,36,0,6,5,3.0
Cameron Jordan,6176,ED,NO,17,8,2,100.0,0,1,20,1,0,76.9,76.0,88.3,59.5,82.1,73.0,5,21,0,0,12,7.1,3,0,0,95.8,3,10,0,0,0,18,589,588,0,0,584,4,0,1,336,235,1,33,31,5,3,36,0,21,19,7.0
Cameron Heyward,6183,DI,PIT,18,21,5,,1,1,25,0,0,67.2,90.4,50.4,85.6,84.4,69.8,6,43,0,0,,3.8,3,0,4,0.0,0,4,0,2,0,6,873,871,26,437,45,363,0,2,532,335,0,43,54,7,0,53,0,0,0,
Nick Bellore,6515,LB,WAS,2,2,0,,0,0,32,0,0,,39.7,68.5,,46.8,75.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,
Bobby Wagner,7050,LB,WAS,17,51,0,74.6,1,0,32,0,0,51.1,78.6,48.5,92.4,90.3,90.5,4,11,0,2,69,4.8,8,2,2,107.2,44,5,0,1087,1,588,1132,8,0,0,8,0,0,1124,77,467,36,52,107,3,59,20,3,569,421,12.9
Lavonte David,7060,LB,TB,17,32,0,85.5,1,2,30,2,0,45.1,52.6,86.6,48.6,66.2,48.3,2,10,0,1,24,15.6,19,2,3,132.4,59,4,0,820,9,576,1023,99,0,0,99,0,0,924,95,352,95,43,71,4,69,16,8,549,297,9.3
Demario Davis,7079,LB,NO,17,36,1,93.8,0,2,20,1,0,70.3,81.4,70.5,57.4,88.9,67.1,1,11,0,0,22,11.2,17,2,2,112.2,45,1,0,942,1,517,1079,104,0,0,104,0,0,975,70,492,32,55,99,6,48,13,2,364,277,8.1
Harrison Smith,7641,S,MIN,15,8,4,75.0,0,0,18,1,0,69.0,68.9,63.5,71.5,61.7,45.6,1,8,0,2,30,19.4,12,3,2,81.0,21,1,0,228,6,388,793,73,0,0,73,0,427,720,44,361,59,14,42,2,28,10,1,230,104,11.0
Darius Slay,7817,CB,PIT,10,5,0,70.0,0,0,25,1,0,58.6,58.3,84.9,60.0,54.2,50.6,0,0,0,0,81,16.3,7,3,0,126.7,28,0,0,52,422,329,498,0,0,0,0,0,0,498,1,168,24,8,31,1,40,0,3,396,166,14.1
John Jenkins,7863,DI,BLT,17,9,1,,0,1,3,1,0,59.9,64.7,74.2,66.3,60.3,52.8,0,9,0,0,,10.0,4,0,1,0.0,0,1,0,0,0,3,523,523,127,396,0,0,0,0,255,265,0,22,27,2,0,10,0,0,0,
Jordan Poyer,8000,S,BUF,11,18,0,69.2,0,0,4,0,0,62.8,68.6,81.3,71.7,71.5,63.3,0,0,0,1,20,11.3,8,2,1,82.5,9,1,0,281,0,222,451,21,0,0,21,0,123,430,4,225,26,10,45,1,13,1,1,91,65,10.1
Tony Jefferson,8361,S,LAC,14,14,0,64.3,0,0,27,0,0,72.6,70.8,35.3,71.7,61.0,60.7,2,2,0,4,20,12.3,8,3,1,34.5,9,1,0,113,0,346,533,5,0,0,5,0,382,528,12,175,33,14,43,1,14,5,0,62,43,6.9
Jadeveon Clowney,8636,ED,DAL,13,3,4,,1,1,9,2,0,62.9,79.2,25.7,80.6,70.6,54.1,2,29,0,0,,14.7,5,0,4,0.0,0,9,0,1,0,4,372,371,0,3,359,9,0,1,227,141,0,27,26,4,0,40,0,0,0,
Khalil Mack,8640,ED,LAC,13,5,0,100.0,0,3,27,0,0,74.7,79.2,88.1,67.5,77.2,55.9,6,30,0,0,6,13.3,4,0,0,83.3,3,6,1,2,0,15,478,476,0,4,461,11,0,2,296,167,0,24,21,2,3,42,0,12,3,4.0
DeMarcus Lawrence,8669,ED,SEA,19,14,1,100.0,1,5,29,3,2,84.9,82.1,82.2,64.5,83.7,33.0,15,40,0,0,15,24.2,16,0,2,118.8,2,10,0,13,0,15,744,731,0,28,618,85,0,13,487,242,0,34,36,5,2,65,0,28,21,14.0
Kyle Van Noy,8675,ED,BLT,15,3,1,50.0,0,0,3,0,0,83.2,61.7,57.4,51.8,72.5,53.9,8,17,0,1,13,15.0,3,1,2,27.1,2,2,0,17,1,50,493,474,0,0,473,1,0,19,338,105,1,15,14,2,4,27,0,22,11,11.0
DaQuan Jones,8747,DI,BUF,14,4,0,,0,1,4,0,0,60.2,72.0,73.4,72.0,63.5,57.2,6,16,0,1,,8.7,2,0,1,0.0,0,3,0,0,0,0,514,513,87,353,17,56,0,1,329,185,0,14,17,2,0,25,0,0,0,
Brent Urban,8769,DI,BLT,15,6,0,,0,0,3,0,0,60.3,58.6,62.8,51.1,63.7,37.8,3,3,0,0,,14.3,3,0,1,0.0,0,1,0,0,0,4,295,295,1,152,43,99,0,0,133,158,0,12,12,2,0,7,0,0,0,
Shelby Harris,8869,DI,CLV,17,7,4,,0,0,8,0,0,62.6,61.9,30.5,60.8,64.4,39.3,3,14,0,0,,10.8,4,0,4,0.0,0,2,0,6,0,1,510,504,52,378,1,73,0,6,260,249,0,20,26,7,0,19,0,0,0,
Denico Autry,8982,DI,HST,14,0,3,,0,1,13,0,0,60.0,57.2,31.7,60.7,54.4,55.7,3,13,0,0,,33.3,1,0,2,0.0,0,5,0,0,0,0,240,240,0,21,58,161,0,0,212,28,0,5,2,0,0,21,0,0,0,
Mike Pennel,9316,DI,KC,16,11,0,,0,0,16,0,0,66.5,55.2,85.3,51.0,55.6,66.2,0,4,0,0,,4.2,1,0,0,0.0,0,0,0,0,0,1,308,308,79,228,0,1,0,0,138,169,0,8,12,1,0,4,0,0,0,
Dante Fowler Jr.,9436,ED,DAL,17,4,1,50.0,0,0,9,0,0,64.1,77.6,87.8,72.8,67.8,53.2,7,20,0,0,18,18.8,3,1,0,81.3,1,3,0,2,0,9,358,356,0,6,347,3,0,2,248,101,0,8,9,1,2,30,0,18,10,18.0
Leonard Williams,9439,DI,SEA,20,18,1,100.0,0,0,29,0,0,68.7,76.1,56.2,70.1,71.6,41.7,17,43,0,0,-1,14.5,10,0,4,79.2,1,9,0,20,0,17,948,928,4,516,112,296,0,20,640,291,0,42,41,3,1,69,0,-1,7,-1.0
Arik Armstead,9450,DI,JAX,17,7,0,,0,1,15,0,0,57.8,63.1,87.8,61.8,59.6,47.5,3,40,0,0,,13.3,4,0,0,0.0,0,6,0,14,0,12,662,648,10,374,7,257,0,14,485,165,0,14,19,2,0,49,0,0,0,
Bud Dupree,9455,ED,LAC,16,5,1,83.3,0,0,27,0,0,59.3,54.8,66.7,50.8,61.7,53.7,1,16,0,0,19,15.0,3,0,1,93.8,5,2,0,5,0,35,392,384,0,1,382,1,0,8,202,155,3,12,12,0,6,19,0,39,34,7.8
Shaq Thompson,9458,LB,BUF,13,17,0,78.4,0,1,4,0,0,72.2,68.9,84.8,60.3,60.7,35.0,1,4,0,1,24,20.0,16,2,0,89.5,29,1,0,448,2,278,545,59,0,0,59,0,2,486,43,224,34,22,47,7,37,6,1,223,167,7.7
Mario Edwards Jr.,9468,DI,HST,14,4,0,,0,0,13,0,0,57.2,34.7,18.2,51.7,35.4,59.2,2,10,0,0,,8.3,1,0,3,0.0,0,2,0,0,0,0,282,282,0,187,1,94,0,0,196,86,0,5,7,1,0,14,0,0,0,
Preston Smith,9471,ED,WAS,13,8,0,,0,0,32,0,0,90.4,66.9,86.3,57.7,64.3,53.3,5,11,0,0,,11.1,3,0,0,0.0,0,1,0,0,0,1,283,283,0,3,268,12,0,0,136,146,0,11,16,2,0,17,0,0,0,
Eddie Goldman,9472,DI,WAS,13,9,0,,0,0,32,0,0,60.0,54.0,85.7,64.7,47.1,50.8,1,7,0,0,,7.4,2,0,0,0.0,0,0,0,2,0,0,320,318,144,172,0,2,0,2,154,166,0,13,16,4,0,8,0,0,0,
Eric Kendricks,9478,LB,SF,4,8,0,100.0,0,0,28,0,0,59.9,57.6,80.1,47.7,58.9,82.9,0,0,0,0,19,3.7,1,1,0,103.2,9,0,0,162,1,64,172,6,0,0,6,0,0,166,12,96,3,10,18,3,9,0,0,79,49,8.8
Denzel Perryman,9481,LB,LAC,11,13,0,85.0,0,0,27,0,0,50.5,56.3,29.2,53.0,66.2,55.3,0,0,0,0,27,13.1,8,3,1,106.7,17,0,0,315,1,167,338,1,0,0,1,0,0,337,6,165,21,17,40,4,20,0,0,192,125,11.3
Jordan Phillips,9485,DI,BUF,11,1,1,,0,0,4,0,0,60.1,34.0,52.6,61.2,29.4,72.6,0,4,0,0,,0.0,0,0,1,0.0,0,1,0,0,0,1,202,202,6,170,0,26,0,0,99,102,0,4,6,1,0,5,0,0,0,
Danielle Hunter,9521,ED,HST,19,15,2,100.0,0,5,13,1,0,54.7,89.9,86.3,90.8,60.8,49.2,9,64,0,0,10,20.4,10,0,1,108.3,1,19,0,0,0,3,819,819,0,3,808,8,0,0,563,253,0,35,24,1,1,92,0,10,0,10.0
Za'Darius Smith,9555,ED,PHI,5,1,0,,0,0,24,0,0,52.4,77.7,83.0,74.4,69.5,49.0,2,6,0,0,,20.0,2,0,0,0.0,0,2,0,0,0,1,131,131,0,4,119,8,0,0,92,38,0,6,7,2,0,10,0,0,0,
Grady Jarrett,9570,DI,CHI,16,11,4,,0,1,6,0,0,68.9,56.9,78.0,63.4,42.0,60.5,7,13,0,0,,10.9,5,0,2,0.0,0,3,0,0,0,3,734,734,62,588,13,71,0,0,481,250,0,16,30,0,0,23,0,0,0,
Quandre Diggs,9633,S,SEA,9,6,0,72.7,0,0,29,0,0,64.4,66.1,88.7,55.0,64.7,64.0,0,0,0,0,24,12.5,4,1,0,90.3,8,0,0,89,1,192,328,4,0,0,4,0,214,324,5,131,20,8,22,0,11,0,0,73,33,9.1
Rakeem Nunez-Roches,9650,DI,NYG,9,6,1,,0,0,21,0,0,60.0,51.2,58.1,65.1,48.9,63.8,1,4,0,0,,5.6,1,0,1,0.0,0,3,0,0,0,0,242,242,15,160,19,48,0,0,110,132,0,10,11,1,0,8,0,0,0,
Neville Hewitt,9836,LB,NYG,1,0,0,,0,0,21,0,0,61.9,64.5,71.1,58.3,61.2,,0,0,0,0,,,0,0,0,0.0,0,0,0,5,0,3,6,1,0,0,1,0,0,5,1,2,0,0,0,0,0,0,0,0,0,
Alex Singleton,9994,LB,DEN,18,57,0,79.4,0,2,10,0,0,55.2,72.0,86.2,62.8,88.5,75.4,4,13,0,0,47,7.5,13,4,0,107.8,54,1,0,1076,1,654,1171,19,0,0,19,0,1,1152,95,422,74,60,103,1,68,18,2,511,350,9.5
Joey Bosa,10637,ED,BUF,17,4,2,50.0,2,5,4,0,0,61.9,74.6,43.0,85.5,52.0,26.5,13,36,0,0,8,33.3,14,0,5,60.4,1,5,0,1,0,23,654,653,0,4,641,8,0,1,399,232,0,25,24,5,2,54,0,8,5,8.0
Jalen Ramsey,10639,S,PIT,18,18,0,72.6,3,0,25,0,0,58.8,64.4,47.0,65.7,81.2,86.4,1,4,0,1,43,5.4,5,6,7,119.4,45,3,0,184,160,695,1172,19,0,0,19,0,450,1153,27,450,359,25,69,1,62,8,6,466,166,10.4
