player,player_id,position,team_name,player_game_count,declined_penalties,fifty_attempts,fifty_made,fifty_percent,forty_attempts,forty_made,forty_percent,franchise_id,grades_fgep_kicker,one_attempts,one_made,one_percent,pat_attempts,pat_made,pat_percent,penalties,thirty_attempts,thirty_made,thirty_percent,total_attempts,total_made,total_percent,twenty_attempts,twenty_made,twenty_percent
Matt Prater,3471,K,BUF,17,0,4,3,75.0,7,7,100.0,4,73.9,0,0,,55,52,94.5,0,10,9,90.0,25,23,92.0,4,4,100.0
Nick Folk,3794,K,NYJ,16,0,8,7,87.5,7,7,100.0,22,91.3,0,0,,22,22,100.0,0,9,9,100.0,29,28,96.6,5,5,100.0
Graham Gano,5443,K,NYG,5,0,1,1,100.0,2,1,50.0,21,68.0,0,0,,9,9,100.0,0,4,4,100.0,10,9,90.0,3,3,100.0
Brandon McManus,8437,K,GB,15,0,6,3,50.0,8,3,37.5,12,63.5,0,0,,37,35,94.6,0,8,8,100.0,32,24,75.0,10,10,100.0
Cairo Santos,8932,K,CHI,16,0,7,5,71.4,13,11,84.6,6,82.6,0,0,,43,43,100.0,0,10,9,90.0,34,29,85.3,4,4,100.0
Chris Boswell,8990,K,PIT,18,0,11,9,81.8,11,10,90.9,25,92.5,0,0,,43,42,97.7,0,6,4,66.7,34,29,85.3,6,6,100.0
Jason Myers,10207,K,SEA,20,0,12,9,75.0,17,15,88.2,29,90.8,0,0,,59,59,100.0,0,18,17,94.4,56,49,87.5,9,8,88.9
Wil Lutz,11096,K,DEN,19,0,8,5,62.5,6,3,50.0,10,84.1,0,0,,43,43,100.0,0,12,12,100.0,38,32,84.2,12,12,100.0
Ka'imi Fairbairn,11161,K,HST,17,0,15,11,73.3,16,16,100.0,13,90.8,0,0,,33,32,97.0,0,11,11,100.0,52,48,92.3,10,10,100.0
Jake Elliott,11908,K,PHI,18,0,8,4,50.0,11,8,72.7,24,57.4,0,0,,44,42,95.5,0,7,7,100.0,29,22,75.9,3,3,100.0
Zane Gonzalez,11979,K,ATL,9,0,9,7,77.8,8,8,100.0,2,92.1,0,0,,18,17,94.4,0,4,3,75.0,22,19,86.4,1,1,100.0
Harrison Butker,11988,K,KC,17,0,8,5,62.5,11,9,81.8,16,68.6,1,1,100.0,35,31,88.6,0,9,9,100.0,38,33,86.8,9,9,100.0
Younghoe Koo,12042,K,NYG,6,0,2,0,0.0,3,2,66.7,21,46.4,1,1,100.0,14,13,92.9,0,2,2,100.0,9,6,66.7,1,1,100.0
Daniel Carlson,28121,K,LV,15,0,8,5,62.5,8,6,75.0,23,76.1,0,0,,22,21,95.5,0,6,6,100.0,27,22,81.5,5,5,100.0
Chase McLaughlin,33285,K,TB,17,0,12,11,91.7,9,6,66.7,30,92.9,0,0,,33,32,97.0,0,11,9,81.8,38,32,84.2,6,6,100.0
Parker Romo,33384,K,ATL,7,0,2,1,50.0,2,1,50.0,2,54.4,0,0,,13,12,92.3,0,8,7,87.5,14,11,78.6,2,2,100.0
Joey Slye,39235,K,TEN,16,0,14,9,64.3,9,7,77.8,31,84.3,0,0,,27,26,96.3,0,6,6,100.0,35,28,80.0,6,6,100.0
Michael Badgley,39417,K,BUF,9,0,3,2,66.7,5,5,100.0,4,54.4,0,0,,25,20,80.0,0,3,3,100.0,12,11,91.7,1,1,100.0
Matthew Wright,39675,K,HST,4,0,0,0,,3,3,100.0,13,65.4,0,0,,4,4,100.0,0,1,1,100.0,5,5,100.0,1,1,100.0
Eddy Pineiro,44140,K,SF,16,0,8,7,87.5,11,11,100.0,28,88.7,0,0,,41,36,87.8,0,8,8,100.0,32,31,96.9,5,5,100.0
Lucas Havrisik,57498,K,GB,3,0,1,1,100.0,1,1,100.0,12,67.7,0,0,,9,7,77.8,0,2,2,100.0,4,4,100.0,0,0,
Blake Grupe,57502,K,IND,16,0,10,7,70.0,6,3,50.0,14,66.4,0,0,,25,25,100.0,0,12,10,83.3,37,29,78.4,9,9,100.0
Riley Patterson,57556,K,MIA,16,0,4,3,75.0,11,11,100.0,17,76.1,0,0,,35,34,97.1,0,9,8,88.9,29,27,93.1,5,5,100.0
Andre Szmyt,57624,K,CLV,16,0,6,5,83.3,6,5,83.3,8,77.5,0,0,,26,25,96.2,0,11,10,90.9,27,24,88.9,4,4,100.0
Matt Gay,57643,K,SF,12,0,9,4,44.4,6,6,100.0,28,62.0,0,0,,26,26,100.0,0,4,3,75.0,23,17,73.9,4,4,100.0
Jamie Gillan,63303,P,NYG,1,0,0,0,,0,0,,21,,0,0,,1,0,0.0,0,0,0,,0,0,,0,0,
Cameron Dicker,77069,K,LAC,18,0,6,5,83.3,13,12,92.3,27,91.0,0,0,,35,34,97.1,0,15,14,93.3,42,39,92.9,8,8,100.0
Chad Ryland,77083,K,ARZ,17,0,10,6,60.0,10,7,70.0,1,73.9,0,0,,36,36,100.0,0,8,7,87.5,33,25,75.8,5,5,100.0
Evan McPherson,82583,K,CIN,16,0,8,5,62.5,10,10,100.0,7,90.0,0,0,,44,41,93.2,0,6,6,100.0,28,25,89.3,4,4,100.0
Jake Moody,82603,K,WAS,8,0,2,2,100.0,6,5,83.3,32,64.9,0,0,,16,15,93.8,0,8,7,87.5,23,19,82.6,7,5,71.4
Will Reichard,98965,K,MIN,16,0,13,11,84.6,7,7,100.0,18,93.8,0,0,,31,31,100.0,0,9,9,100.0,35,33,94.3,6,6,100.0
Ryan Fitzgerald,99867,K,CAR,18,0,5,2,40.0,10,9,90.0,5,68.0,0,0,,34,31,91.2,0,9,8,88.9,30,25,83.3,6,6,100.0
Spencer Shrader,100974,K,IND,5,0,2,1,50.0,2,2,100.0,14,72.8,0,0,,14,14,100.0,0,5,5,100.0,14,13,92.9,5,5,100.0
Jake Bates,121959,K,DET,17,0,9,4,44.4,11,9,81.8,11,85.1,0,0,,56,54,96.4,0,8,8,100.0,34,27,79.4,6,6,100.0
Ben Sauls,123021,K,NYG,3,0,0,0,,1,1,100.0,21,75.5,0,0,,7,7,100.0,0,4,4,100.0,8,8,100.0,3,3,100.0
Harrison Mevis,124212,K,LA,12,0,2,2,100.0,10,9,90.0,26,85.4,0,0,,48,48,100.0,0,4,4,100.0,19,18,94.7,3,3,100.0
Tyler Loop,131582,K,BLT,17,0,4,1,25.0,9,8,88.9,3,59.1,0,0,,46,44,95.7,0,11,11,100.0,34,30,88.2,10,10,100.0
Joshua Karty,131765,K,ARZ,8,0,2,1,50.0,4,3,75.0,1,52.7,0,0,,26,23,88.5,0,5,3,60.0,15,10,66.7,4,3,75.0
Andres Borregales,143934,K,NE,21,0,5,4,80.0,12,7,58.3,19,70.3,2,2,100.0,62,60,96.8,0,11,10,90.9,38,31,81.6,8,8,100.0
Cam Little,146646,K,JAX,18,0,11,8,72.7,11,9,81.8,15,92.3,0,0,,54,53,98.1,0,9,9,100.0,36,31,86.1,5,5,100.0
Brandon Aubrey,156112,K,DAL,17,0,17,11,64.7,10,10,100.0,9,94.0,0,0,,48,47,97.9,0,5,5,100.0,42,36,85.7,10,10,100.0
Jude McAtamney,162910,K,NYG,4,0,0,0,,0,0,,21,32.4,0,0,,12,9,75.0,0,1,1,100.0,2,2,100.0,1,1,100.0
Charlie Smyth,183080,K,NO,6,0,6,4,66.7,5,3,60.0,20,76.3,0,0,,13,13,100.0,0,4,4,100.0,16,12,75.0,1,1,100.0
