player,player_id,position,team_name,player_game_count,attempts,attempts_with_hangtime,average_distance,average_hangtime,average_starting_field_position,average_yards_per_return,declined_penalties,fair_catches,franchise_id,grades_kickoff_kicker,kicked_yards,kicks_returned,onside_kicks,penalties,percent_returned,return_yards,total_hangtime,touchbacks
Matt Prater,3471,K,BUF,15,84,82,61.1,3.82,30.6,25.8,0,0,4,9.8,5133,72,0,1,85.7,1861,312.86,11
Nick Folk,3794,K,NYJ,8,29,25,55.7,3.75,35.3,23.5,0,0,22,13.0,1615,23,4,0,79.3,540,93.63,6
Thomas Morstead,5088,P,SF,2,3,2,46.3,3.69,40.7,12.5,0,0,28,60.0,139,2,1,0,66.7,25,7.38,1
Graham Gano,5443,K,NYG,2,11,6,60.3,3.3,27.5,24.9,0,0,21,48.3,663,11,0,0,100.0,274,19.81,0
Johnny Hekker,7252,P,TEN,3,3,0,7.7,,58.3,0.0,0,0,31,60.0,23,2,3,0,66.7,0,0.0,0
Sam Martin,7947,P,CAR,2,2,0,13.5,,51.5,0.0,0,0,5,60.0,27,1,2,0,50.0,0,0.0,0
Brandon McManus,8437,K,GB,15,74,73,63.6,3.75,29.3,25.7,0,0,12,11.6,4703,57,0,1,77.0,1465,274.03,16
Cairo Santos,8932,K,CHI,17,93,71,60.5,3.41,30.3,25.7,0,0,6,12.7,5626,68,2,4,73.1,1746,242.34,20
Chris Boswell,8990,K,PIT,18,91,84,60.2,3.55,29.3,24.4,0,0,25,14.4,5475,81,2,3,89.0,1973,298.52,7
Bradley Pinion,9598,P,ATL,9,41,38,62.9,3.8,32.4,28.4,0,0,2,22.9,2579,31,1,0,75.6,880,144.43,10
Jason Myers,10207,K,SEA,20,125,91,61.9,3.48,28.2,24.0,0,0,29,6.5,7739,97,0,4,77.6,2326,317.08,23
Wil Lutz,11096,K,DEN,19,96,92,63.8,3.56,31.2,27.4,0,0,10,9.5,6120,73,0,2,76.0,2002,327.79,21
Ka'imi Fairbairn,11161,K,HST,17,97,71,63.6,3.46,29.8,26.4,0,0,13,6.6,6173,71,0,1,73.2,1873,245.46,25
Jake Elliott,11908,K,PHI,18,87,65,60.3,3.54,29.1,23.5,0,0,24,8.9,5244,73,1,1,83.9,1714,229.93,13
Zane Gonzalez,11979,K,ATL,7,38,30,61.7,3.51,34.4,31.3,0,0,2,0.0,2345,22,0,4,57.9,689,105.19,12
Harrison Butker,11988,K,KC,17,87,84,61.7,3.45,30.3,25.2,0,0,16,5.2,5371,72,1,2,82.8,1815,290.0,13
Younghoe Koo,12042,K,NYG,6,25,23,61.7,3.83,29.4,25.3,0,0,21,27.8,1542,21,0,1,84.0,532,88.14,3
Rigoberto Sanchez,12130,P,IND,3,9,6,45.2,3.79,40.2,12.3,0,0,14,39.7,407,6,3,1,66.7,74,22.72,2
Corey Bojorquez,27626,P,CLV,1,1,0,9.0,,56.0,0.0,0,0,8,60.0,9,1,1,0,100.0,0,0.0,0
Daniel Carlson,28121,K,LV,17,62,38,60.1,3.38,32.5,26.9,0,0,23,13.7,3729,49,2,2,79.0,1317,128.3,11
Chase McLaughlin,33285,K,TB,17,84,75,61.7,3.54,33.2,27.3,0,0,30,11.2,5186,62,2,1,73.8,1693,265.38,21
AJ Cole,36038,P,LV,1,1,0,18.0,,62.0,,0,1,23,60.0,18,0,1,0,0.0,0,0.0,0
Joey Slye,39235,K,TEN,16,67,56,63.6,3.45,29.4,24.8,0,0,31,7.1,4258,46,0,4,68.7,1140,193.11,17
Michael Badgley,39417,K,BUF,9,46,42,58.8,3.6,29.2,24.4,0,0,4,15.1,2704,43,1,2,93.5,1051,151.24,1
Matthew Wright,39675,K,HST,4,14,13,61.6,3.64,27.4,26.0,0,0,13,45.4,862,12,0,0,85.7,312,47.36,2
Eddy Pineiro,44140,K,SF,16,87,86,62.4,3.76,32.3,27.1,0,0,28,0.0,5431,66,0,2,75.9,1791,323.14,20
Mitch Wishnowsky,44663,P,BUF,3,17,14,61.4,3.41,29.9,23.8,0,0,4,27.4,1043,13,0,0,76.5,309,47.7,4
