player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_pass_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_pass_block,snap_counts_pass_play,true_pass_set_grades_pass_block,true_pass_set_hits_allowed,true_pass_set_hurries_allowed,true_pass_set_non_spike_pass_block,true_pass_set_non_spike_pass_block_percentage,true_pass_set_pass_block_percent,true_pass_set_pbe,true_pass_set_pressures_allowed,true_pass_set_sacks_allowed,true_pass_set_snap_counts_pass_block,true_pass_set_snap_counts_pass_play
Mike Onwenu,27357,G,NE,21,0,19,78.2,1,24,765,100.0,100.0,98.1,2,27,2,808,808,73.4,1,18,384,100.0,100.0,97.0,21,2,413,413
Mike McGlinchey,46275,T,DEN,19,0,10,69.9,7,33,765,100.0,100.0,97.1,0,42,2,806,806,68.8,5,20,334,100.0,100.0,96.0,26,1,351,351
Garett Bolles,11775,T,DEN,19,1,10,91.0,6,17,762,99.9,99.9,98.5,4,23,0,803,804,84.8,4,13,334,100.0,100.0,97.5,17,0,351,351
Garrett Bradbury,46013,C,NE,21,0,19,64.1,4,23,760,100.0,100.0,98.0,1,29,2,802,802,56.2,3,17,383,100.0,100.0,96.9,22,2,411,411
Quinn Meinerz,112915,G,DEN,19,2,10,69.0,5,24,757,100.0,100.0,97.7,3,32,3,798,798,53.2,5,19,332,100.0,100.0,95.5,27,3,349,349
Coleman Shelton,39316,C,LA,20,1,26,53.1,4,18,751,100.0,100.0,98.3,2,24,2,797,797,39.9,3,15,334,100.0,100.0,97.0,19,1,354,354
Drew Dalman,52270,C,CHI,19,0,6,67.3,3,27,744,100.0,100.0,97.8,2,31,1,789,789,57.6,1,19,322,100.0,100.0,96.6,21,1,344,344
Joe Thuney,10712,G,CHI,19,0,6,87.7,2,20,743,100.0,100.0,98.5,0,22,0,788,788,75.4,1,16,322,100.0,100.0,97.4,17,0,344,344
Hjalte Froholdt,44959,C,ARZ,17,2,1,72.0,2,17,740,100.0,100.0,98.6,3,20,1,788,788,70.8,2,10,370,100.0,100.0,98.1,13,1,396,396
Morgan Moses,8701,T,NE,21,1,19,71.0,5,27,740,100.0,100.0,97.6,2,34,2,781,781,68.2,3,22,375,100.0,100.0,96.4,26,1,403,403
