player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Calais Campbell,4364,DI,ARZ,17,2,1,1,65.1,9,18,320,99.4,8.4,27,1,6.1,6,341,339,33,0,60.8,5,13,182,99.5,9.3,17,7.7,5,195,194,23
Brandon Graham,5538,ED,PHI,10,0,0,24,58.5,0,8,64,100.0,14.1,9,0,10.9,3,69,69,11,0,65.8,0,5,40,100.0,20.0,8,13.8,3,43,43,8
Jason Pierre-Paul,5540,ED,TB,3,1,0,30,57.4,0,0,22,88.0,4.5,1,0,0.0,0,25,22,0,0,49.6,0,0,11,100.0,0.0,0,0.0,0,11,11,0
Von Miller,6154,ED,WAS,17,0,0,32,62.4,4,22,273,96.0,9.5,26,1,8.4,10,301,289,36,0,63.5,3,17,150,97.0,10.7,16,12.7,9,166,161,29
Cameron Jordan,6176,ED,NO,17,2,0,20,59.5,5,21,322,94.9,9.9,32,0,7.1,10,354,336,36,1,63.3,4,14,157,97.6,14.0,22,10.2,7,170,166,25
Cameron Heyward,6183,DI,PIT,18,5,1,25,85.6,6,43,499,98.9,15.2,76,4,5.7,4,538,532,53,2,81.2,3,24,236,99.2,17.8,42,7.0,3,258,256,30
Bobby Wagner,7050,LB,WAS,17,0,1,32,92.4,4,11,68,11.6,27.9,19,2,18.4,5,665,77,20,0,91.7,0,7,32,12.9,34.4,11,17.2,2,287,37,9
Lavonte David,7060,LB,TB,17,0,1,30,48.6,2,10,89,14.2,3.4,3,3,11.2,4,671,95,16,0,53.7,1,3,39,13.3,5.1,2,12.8,3,323,43,7
Demario Davis,7079,LB,NO,17,1,0,20,57.4,1,11,65,11.9,7.7,5,2,10.8,1,587,70,13,0,54.5,0,5,36,13.9,8.3,3,9.7,1,273,38,6
Harrison Smith,7641,S,MIN,15,4,0,18,71.5,1,8,42,10.2,7.1,3,2,13.1,1,432,44,10,1,75.7,1,1,10,5.6,30.0,3,10.0,0,216,12,2
Darius Slay,7817,CB,PIT,10,0,0,25,60.0,0,0,1,0.3,0.0,0,0,0.0,0,330,1,0,0,,0,0,0,0.0,,0,,0,170,0,0
John Jenkins,7863,DI,BLT,17,1,0,3,66.3,0,9,244,98.8,5.7,14,1,2.3,1,258,255,10,1,58.2,0,4,80,98.8,6.3,5,2.5,0,85,84,4
Jordan Poyer,8000,S,BUF,11,0,0,4,71.7,0,0,4,1.8,25.0,1,1,25.0,1,226,4,1,0,75.0,0,0,2,2.1,50.0,1,50.0,1,96,2,1
Tony Jefferson,8361,S,LAC,14,0,0,27,71.7,2,2,9,3.4,0.0,0,1,33.3,1,358,12,5,0,52.4,0,0,1,2.5,0.0,0,0.0,0,157,4,0
Jadeveon Clowney,8636,ED,DAL,13,4,1,9,80.6,2,29,209,98.3,16.7,35,4,11.7,9,231,227,40,1,75.6,1,13,91,98.1,22.0,20,12.1,4,105,103,18
Khalil Mack,8640,ED,LAC,13,0,0,27,67.5,6,30,281,95.2,13.2,37,0,8.5,6,311,296,42,0,73.1,2,22,124,97.8,19.4,24,13.7,5,136,133,29
DeMarcus Lawrence,8669,ED,SEA,19,1,1,29,64.5,15,40,462,97.0,11.0,51,2,8.1,10,502,487,65,1,64.3,8,28,261,97.9,14.2,37,10.0,8,282,276,44
Kyle Van Noy,8675,ED,BLT,15,1,0,3,51.8,8,17,316,87.1,7.0,22,2,4.6,2,388,338,27,0,50.6,5,12,193,87.9,7.3,14,4.9,1,231,203,18
DaQuan Jones,8747,DI,BUF,14,0,0,4,72.0,6,16,311,100.0,9.3,29,1,4.5,3,329,329,25,0,76.9,4,13,154,100.0,12.3,19,6.8,2,162,162,19
Brent Urban,8769,DI,BLT,15,0,0,3,51.1,3,3,126,97.1,3.2,4,1,3.2,1,137,133,7,0,50.6,1,1,39,95.3,5.1,2,2.6,0,43,41,2
Shelby Harris,8869,DI,CLV,17,4,0,8,60.8,3,14,248,99.6,7.3,18,4,4.2,2,261,260,19,1,65.9,1,12,85,100.0,17.6,15,8.8,1,91,91,14
Denico Autry,8982,DI,HST,14,3,0,13,60.7,3,13,200,100.0,11.5,23,2,6.5,5,212,212,21,1,60.5,3,13,143,100.0,14.0,20,8.4,4,153,153,20
Mike Pennel,9316,DI,KC,16,0,0,16,51.0,0,4,137,99.3,2.2,3,0,1.5,0,139,138,4,0,53.2,0,2,32,100.0,3.1,1,3.1,0,32,32,2
Dante Fowler Jr.,9436,ED,DAL,17,1,0,9,72.8,7,20,231,96.5,14.3,33,0,7.1,3,257,248,30,0,77.3,6,15,119,97.1,20.2,24,9.7,1,136,132,22
Leonard Williams,9439,DI,SEA,20,1,0,29,70.1,17,43,601,97.4,12.0,72,4,6.5,9,657,640,69,1,74.2,14,33,330,98.6,15.8,52,9.5,8,361,356,55
Arik Armstead,9450,DI,JAX,17,0,0,15,61.8,3,40,458,97.6,10.7,49,0,6.0,6,497,485,49,0,64.9,2,26,225,98.4,15.1,34,8.0,4,245,241,32
Bud Dupree,9455,ED,LAC,16,1,0,27,50.8,1,16,188,85.2,5.3,10,1,5.6,2,237,202,19,0,54.7,1,7,77,84.8,9.1,7,7.8,2,99,84,10
Shaq Thompson,9458,LB,BUF,13,0,0,4,60.3,1,4,41,13.4,7.3,3,0,8.5,1,321,43,6,0,62.0,0,2,24,16.0,8.3,2,8.3,1,150,24,3
Mario Edwards Jr.,9468,DI,HST,14,0,0,13,51.7,2,10,181,100.0,5.0,9,3,4.4,2,196,196,14,0,53.5,1,9,85,100.0,7.1,6,8.2,2,92,92,12
Preston Smith,9471,ED,WAS,13,0,0,32,57.7,5,11,128,99.3,13.3,17,0,7.0,1,137,136,17,0,58.6,3,4,48,100.0,16.7,8,9.4,1,51,51,8
Eddie Goldman,9472,DI,WAS,13,0,0,32,64.7,1,7,144,100.0,7.6,11,0,2.8,0,154,154,8,0,61.9,0,5,48,100.0,10.4,5,5.2,0,50,50,5
Eric Kendricks,9478,LB,SF,4,0,0,28,47.7,0,0,11,15.8,0.0,0,0,0.0,0,76,12,0,0,50.0,0,0,6,17.1,0.0,0,0.0,0,35,6,0
Denzel Perryman,9481,LB,LAC,11,0,0,27,53.0,0,0,5,3.5,0.0,0,1,0.0,0,173,6,0,0,55.0,0,0,2,6.1,0.0,0,0.0,0,49,3,0
Jordan Phillips,9485,DI,BUF,11,1,0,4,61.2,0,4,90,99.0,7.8,7,1,3.3,1,100,99,5,1,67.2,0,3,34,100.0,14.7,5,7.4,1,39,39,4
Danielle Hunter,9521,ED,HST,19,2,0,13,90.8,9,64,531,99.5,20.0,106,1,10.5,19,566,563,92,1,91.1,6,42,283,99.7,26.9,76,13.8,15,303,302,63
