player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Puka Nacua,100632,WR,LA,19,9.9,29,76.5,63.8,30,47,0,3.2,5,97,26,1,90.7,70.0,96.1,79.7,96.1,2.3,14,1,58,1.6,10,609,1,153,94.3,574,36.1,220,126.4,200,12,60.4,368,2047,777,5.1,13.4,3.57
Jaxon Smith-Njigba,129758,WR,SEA,20,11.7,20,74.7,54.8,17,31,1,2.9,4,90,29,3,90.6,30.7,92.9,,93.2,0.0,0,5,63,0.0,0,614,4,136,94.8,582,23.9,147,120.5,182,12,73.6,452,1992,596,4.4,14.6,3.42
Ja'Marr Chase,84270,WR,CIN,16,8.9,23,68.7,54.5,18,33,2,4.6,6,73,7,1,83.9,63.4,90.1,,90.1,0.0,0,7,64,0.0,0,669,2,125,94.5,632,32.6,218,90.3,182,8,66.5,445,1412,648,5.2,11.3,2.23
Trey McBride,75916,TE,ARZ,17,7.0,24,77.3,58.3,21,36,0,0.8,1,63,1,0,91.3,85.1,81.7,34.4,84.8,28.0,210,0,31,1.6,12,749,5,126,92.8,695,62.8,470,120.7,163,11,8.9,67,1239,577,4.6,9.8,1.78
Amon-Ra St. Brown,84470,WR,DET,17,8.4,16,72.2,41.7,10,24,0,4.1,5,71,11,1,86.4,69.9,90.7,79.0,90.6,0.0,0,4,52,0.8,5,594,1,117,95.3,566,55.7,331,110.6,162,11,43.4,258,1401,591,5.1,12.0,2.48
Chris Olave,84355,WR,NO,16,12.3,6,66.2,47.1,16,34,3,3.8,4,53,20,0,86.4,83.7,78.0,,79.7,0.0,0,4,62,0.0,0,625,7,100,93.9,587,41.9,262,98.2,151,9,58.1,363,1163,292,2.9,11.6,1.98
Justin Jefferson,61398,WR,MIN,17,10.7,13,60.0,47.8,11,23,0,5.6,5,47,18,0,75.6,82.7,80.5,69.0,80.2,0.0,0,10,50,0.2,1,592,1,84,93.9,556,27.0,160,58.3,140,2,71.6,424,1048,435,5.2,12.5,1.88
Davante Adams,8688,WR,LA,17,14.0,2,52.6,29.4,10,34,0,11.3,9,61,26,0,43.2,81.5,84.8,,83.9,0.0,0,2,44,0.0,0,539,1,71,95.2,513,16.1,87,106.8,135,15,83.9,452,974,161,2.3,13.7,1.9
Christian McCaffrey,11763,HB,SF,19,2.9,24,83.7,60.0,9,15,0,4.2,5,56,28,1,84.6,83.5,77.2,41.9,91.7,1.6,10,3,39,8.7,56,642,0,113,88.3,567,14.5,93,111.4,135,9,3.3,21,1029,776,6.9,9.1,1.81
Courtland Sutton,48164,WR,DEN,19,13.1,9,60.4,48.6,17,35,1,9.0,8,56,10,0,59.4,82.5,73.8,,74.2,0.0,0,3,52,0.0,0,749,1,81,94.8,710,18.8,141,96.8,134,8,81.2,608,1087,220,2.7,13.4,1.53
Wan'Dale Robinson,101735,WR,NYG,16,9.0,16,70.2,31.8,7,22,1,3.2,3,39,21,1,89.1,32.0,70.2,39.6,69.8,0.0,0,2,50,0.2,1,588,4,92,92.0,541,67.9,399,96.7,131,4,31.1,183,1014,392,4.3,11.0,1.87
George Pickens,99229,WR,DAL,17,12.0,21,71.0,56.4,22,39,1,5.1,5,73,9,4,79.5,22.6,85.9,,87.2,0.0,0,3,45,0.0,0,661,8,93,92.1,609,10.3,68,120.1,131,9,89.7,593,1429,478,5.1,15.4,2.35
A.J. Brown,48327,WR,PHI,16,12.2,10,63.8,47.2,17,36,1,3.6,3,48,24,0,85.3,82.5,80.9,,83.4,0.0,0,3,45,0.0,0,555,8,81,94.4,524,12.4,69,97.5,127,7,87.6,486,1028,268,3.3,12.7,1.96
Tetairoa McMillan,158735,WR,CAR,18,12.3,8,59.5,33.3,8,24,0,8.5,7,60,5,1,55.4,81.8,79.3,,79.2,0.0,0,6,43,0.0,0,633,1,75,93.7,593,19.9,126,86.6,126,7,80.1,507,1095,290,3.9,14.6,1.85
Keenan Allen,7857,WR,LAC,18,8.4,10,66.7,48.0,12,25,0,7.7,7,51,27,2,59.3,29.0,76.0,64.9,76.1,0.0,0,2,31,0.2,1,524,0,84,94.7,496,41.2,216,88.1,126,4,58.8,308,802,242,2.9,9.5,1.62
Emeka Egbuka,145055,WR,TB,17,13.2,7,50.0,29.6,8,27,1,11.3,8,34,30,0,49.6,81.3,67.3,65.7,68.5,0.0,0,4,77,0.2,1,583,4,63,91.9,536,37.0,216,77.4,126,6,62.8,366,938,330,5.2,14.9,1.75
Nico Collins,61441,WR,HST,16,13.0,6,59.7,55.9,19,34,1,1.3,1,49,13,1,88.9,51.3,85.9,68.1,85.5,0.0,0,1,57,0.2,1,545,3,74,92.1,502,20.4,111,102.8,124,6,79.6,434,1138,332,4.5,15.4,2.27
Michael Wilson,84423,WR,ARZ,17,12.2,6,62.9,64.7,22,34,0,4.9,4,51,1,0,80.2,82.4,76.4,46.8,76.4,0.1,1,5,50,0.1,1,675,1,78,93.5,631,30.2,204,90.3,124,7,69.5,469,1006,277,3.6,12.9,1.59
DeVonta Smith,61100,WR,PHI,18,11.7,7,69.7,40.0,10,25,0,3.4,3,46,24,0,81.7,82.8,76.9,,78.9,0.0,0,1,79,0.0,0,592,2,85,94.8,561,56.6,335,104.5,122,4,42.7,253,1078,344,4.0,12.7,1.92
Stefon Diggs,9579,WR,NE,21,8.4,12,82.5,75.0,12,16,0,2.9,3,55,19,0,90.0,83.6,82.7,75.4,82.6,0.0,0,3,34,0.3,2,576,4,99,93.9,541,53.0,305,109.1,120,5,46.9,270,1123,408,4.1,11.3,2.08
Zay Flowers,97268,WR,BLT,17,10.1,16,73.5,53.8,7,13,2,5.5,5,48,3,3,76.0,23.5,79.6,,81.6,0.0,0,2,64,0.0,0,511,5,86,93.7,479,33.9,173,113.6,117,5,65.9,337,1211,473,5.5,14.1,2.53
Kyle Pitts,83964,TE,ATL,17,7.5,9,77.2,55.0,11,20,0,4.3,4,51,2,0,81.8,83.1,73.6,81.3,82.0,45.0,268,3,36,3.9,23,596,7,88,91.1,543,34.7,207,104.0,114,5,20.3,121,928,399,4.5,10.5,1.71
CeeDee Lamb,61570,WR,DAL,14,12.7,10,65.8,46.7,14,30,2,9.6,8,43,9,0,55.2,82.2,77.6,,79.0,0.0,0,3,74,0.0,0,498,6,75,91.4,455,34.7,173,94.1,114,3,64.5,321,1077,320,4.3,14.4,2.37
Khalil Shakir,84140,WR,BUF,18,3.5,25,81.3,41.2,7,17,0,5.2,5,34,4,1,78.6,65.9,74.3,38.8,74.3,2.1,11,2,54,0.6,3,519,2,91,93.6,486,69.0,358,103.7,112,4,27.2,141,876,665,7.3,9.6,1.8
Jakobi Meyers,47468,WR,JAX,17,9.4,9,68.5,46.2,12,26,1,5.0,4,44,15,1,76.8,82.3,71.1,36.3,73.2,0.0,0,7,50,0.2,1,595,4,76,93.6,557,41.7,248,73.7,111,3,58.3,347,847,290,3.8,11.1,1.52
Michael Pittman Jr.,29049,WR,IND,17,8.4,7,72.7,43.8,7,16,2,4.8,4,47,14,0,75.2,82.4,70.4,69.3,70.8,1.0,6,5,27,0.2,1,575,5,80,93.4,537,28.9,166,94.7,110,7,69.2,398,784,272,3.4,9.8,1.46
Dalton Schultz,47304,TE,HST,19,6.5,9,80.6,25.0,2,8,0,1.1,1,41,13,1,90.3,54.7,73.1,56.2,76.5,55.4,347,0,47,7.8,49,626,7,87,85.0,532,32.1,201,108.2,108,3,10.4,65,836,405,4.7,9.6,1.57
Colston Loveland,158540,TE,CHI,18,10.0,7,66.0,40.9,9,22,0,2.8,2,44,6,0,87.3,81.6,84.0,43.9,86.2,42.5,218,1,58,5.7,29,513,5,70,89.9,461,31.0,159,107.7,106,6,24.2,124,906,311,4.4,12.9,1.97
Tyler Warren,129798,TE,IND,17,5.9,5,71.7,39.1,9,23,1,6.2,5,42,14,0,72.5,54.3,67.6,64.2,72.0,39.4,227,2,41,6.9,40,576,4,76,87.2,502,43.6,251,98.7,106,4,13.7,79,817,487,6.4,10.8,1.63
Ladd McConkey,124030,WR,LAC,17,10.5,13,65.1,21.4,3,14,1,4.2,3,37,27,0,74.7,84.0,66.9,38.3,68.0,0.9,6,5,58,0.2,1,636,4,69,95.3,606,64.8,412,87.8,106,6,34.3,218,821,322,4.7,11.9,1.35
Jerry Jeudy,61103,WR,CLV,17,12.3,3,47.6,34.8,8,23,1,15.3,9,31,8,1,32.7,30.0,58.5,,57.9,0.2,1,7,60,0.0,0,628,3,50,94.1,591,18.6,117,44.2,105,2,81.2,510,602,168,3.4,12.0,1.02
Drake London,86519,WR,ATL,12,11.1,4,65.4,43.3,13,30,1,2.9,2,46,2,1,86.1,46.8,88.0,75.3,89.9,0.0,0,2,43,1.0,4,421,3,68,93.1,392,33.7,142,107.8,104,7,66.3,279,919,243,3.6,13.5,2.34
D.K. Metcalf,47864,WR,PIT,16,11.4,11,59.2,33.3,8,24,0,9.0,6,39,25,0,60.6,81.2,71.1,,73.1,0.0,0,4,80,0.0,0,531,8,61,94.4,501,19.2,102,90.8,103,6,80.4,427,892,449,7.4,14.6,1.78
Harold Fannin Jr.,163104,TE,CLV,16,6.0,22,69.9,47.6,10,21,0,6.5,5,32,8,0,71.1,53.1,67.9,54.1,76.4,42.0,207,2,35,5.7,28,493,6,72,88.4,436,41.4,204,101.2,103,6,15.2,75,731,359,5.0,10.2,1.68
Travis Kelce,7844,TE,KC,17,6.9,9,73.8,37.5,3,8,0,8.4,7,46,16,1,52.6,81.9,72.0,57.9,74.0,34.0,218,4,44,4.5,29,642,3,76,89.9,577,42.1,270,98.0,103,5,22.7,146,851,430,5.7,11.2,1.47
