player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Calais Campbell,4364,DI,ARZ,17,8,2.0,1,0,1,69.2,72.2,73.1,65.1,69.2,35.5,11.8,4,1,178,183,9.0,16,22
Brandon Graham,5538,ED,PHI,9,2,2.3,0,0,24,60.0,58.0,80.8,58.5,59.9,29.8,16.7,1,0,51,51,5.9,3,3
Jason Pierre-Paul,5540,ED,TB,3,0,,0,0,30,61.8,37.2,77.1,57.4,28.7,20.3,100.0,2,0,12,13,0.0,0,0
Von Miller,6154,ED,WAS,17,1,3.9,0,0,32,47.1,64.4,70.4,62.4,67.2,47.7,20.0,3,1,117,119,6.8,8,11
Cameron Jordan,6176,ED,NO,17,7,2.5,0,0,20,76.9,76.0,88.3,59.5,82.1,73.0,0.0,0,0,229,235,7.9,18,25
Cameron Heyward,6183,DI,PIT,18,20,2.8,1,1,25,67.2,90.4,50.4,85.6,84.4,69.8,2.9,2,4,328,335,10.4,34,47
Nick Bellore,6515,LB,WAS,2,2,,0,0,32,,39.7,68.5,,46.8,75.0,0.0,0,0,8,8,0.0,0,0
Bobby Wagner,7050,LB,WAS,17,42,4.4,1,0,32,51.1,78.6,48.5,92.4,90.3,90.5,3.5,4,2,457,467,7.7,35,69
Lavonte David,7060,LB,TB,17,21,2.6,1,0,30,45.1,52.6,86.6,48.6,66.2,48.3,7.1,4,3,343,352,6.7,23,31
Demario Davis,7079,LB,NO,17,29,3.7,0,1,20,70.3,81.4,70.5,57.4,88.9,67.1,9.3,10,2,475,492,8.2,39,69
Harrison Smith,7641,S,MIN,15,6,9.4,0,0,18,69.0,68.9,63.5,71.5,61.7,45.6,21.4,6,2,351,361,1.1,4,16
Darius Slay,7817,CB,PIT,10,1,6.1,0,0,25,58.6,58.3,84.9,60.0,54.2,50.6,30.8,4,0,167,168,1.8,3,8
John Jenkins,7863,DI,BLT,17,9,2.2,0,0,3,59.9,64.7,74.2,66.3,60.3,52.8,7.7,3,1,257,265,8.2,21,27
Jordan Poyer,8000,S,BUF,11,14,8.1,0,0,4,62.8,68.6,81.3,71.7,71.5,63.3,8.7,4,1,223,225,3.1,7,28
Tony Jefferson,8361,S,LAC,14,8,9.9,0,0,27,72.6,70.8,35.3,71.7,61.0,60.7,17.9,5,1,173,175,3.5,6,15
Jadeveon Clowney,8636,ED,DAL,13,3,2.3,1,0,9,62.9,79.2,25.7,80.6,70.6,54.1,6.9,2,4,137,141,12.4,17,24
Khalil Mack,8640,ED,LAC,13,5,1.7,0,0,27,74.7,79.2,88.1,67.5,77.2,55.9,8.3,2,0,160,167,9.4,15,17
DeMarcus Lawrence,8669,ED,SEA,19,12,2.1,1,2,29,84.9,82.1,82.2,64.5,83.7,33.0,11.1,5,2,236,242,8.9,21,28
Kyle Van Noy,8675,ED,BLT,15,3,0.6,0,0,3,83.2,61.7,57.4,51.8,72.5,53.9,8.3,1,2,102,105,7.8,8,8
DaQuan Jones,8747,DI,BUF,14,4,2.3,0,0,4,60.2,72.0,73.4,72.0,63.5,57.2,5.3,1,1,182,185,4.9,9,14
Brent Urban,8769,DI,BLT,15,5,0.7,0,0,3,60.3,58.6,62.8,51.1,63.7,37.8,15.8,3,1,151,158,6.6,10,11
Shelby Harris,8869,DI,CLV,17,7,1.4,0,0,8,62.6,61.9,30.5,60.8,64.4,39.3,9.1,3,4,244,249,7.4,18,23
Denico Autry,8982,DI,HST,9,0,5.5,0,0,13,60.0,57.2,31.7,60.7,54.4,55.7,0.0,0,2,28,28,3.6,1,2
Mike Pennel,9316,DI,KC,16,10,2.3,0,0,16,66.5,55.2,85.3,51.0,55.6,66.2,4.5,1,0,165,169,4.8,8,11
Dante Fowler Jr.,9436,ED,DAL,16,4,3.4,0,0,9,64.1,77.6,87.8,72.8,67.8,53.2,15.4,2,0,98,101,4.1,4,7
Leonard Williams,9439,DI,SEA,20,15,1.6,0,0,29,68.7,76.1,56.2,70.1,71.6,41.7,10.4,5,4,286,291,8.7,25,28
Arik Armstead,9450,DI,JAX,17,6,3.9,0,0,15,57.8,63.1,87.8,61.8,59.6,47.5,4.2,1,0,160,165,5.0,8,17
Bud Dupree,9455,ED,LAC,16,4,2.0,0,0,27,59.3,54.8,66.7,50.8,61.7,53.7,14.3,2,1,150,155,4.0,6,8
Shaq Thompson,9458,LB,BUF,13,15,3.0,0,0,4,72.2,68.9,84.8,60.3,60.7,35.0,15.9,7,0,219,224,5.9,13,22
Mario Edwards Jr.,9468,DI,HST,14,4,0.8,0,0,13,57.2,34.7,18.2,51.7,35.4,59.2,0.0,0,3,83,86,3.6,3,4
Preston Smith,9471,ED,WAS,13,7,3.3,0,0,32,90.4,66.9,86.3,57.7,64.3,53.3,4.5,1,0,143,146,5.6,8,14
Eddie Goldman,9472,DI,WAS,13,8,1.1,0,0,32,60.0,54.0,85.7,64.7,47.1,50.8,7.7,2,0,165,166,7.9,13,16
Eric Kendricks,9478,LB,SF,4,7,0.8,0,0,28,59.9,57.6,80.1,47.7,58.9,82.9,5.9,1,0,96,96,7.3,7,9
Denzel Perryman,9481,LB,LAC,11,9,2.8,0,0,27,50.5,56.3,29.2,53.0,66.2,55.3,12.2,5,1,160,165,8.8,14,27
Jordan Phillips,9485,DI,BUF,11,1,3.2,0,0,4,60.1,34.0,52.6,61.2,29.4,72.6,0.0,0,1,100,102,3.0,3,5
Danielle Hunter,9521,ED,HST,19,14,3.5,0,0,13,54.7,89.9,86.3,90.8,60.8,49.2,7.7,3,1,246,253,6.5,16,22
Za'Darius Smith,9555,ED,PHI,5,0,1.9,0,0,24,52.4,77.7,83.0,74.4,69.5,49.0,12.5,1,0,37,38,13.5,5,7
Grady Jarrett,9570,DI,CHI,16,9,3.4,0,0,6,68.9,56.9,78.0,63.4,42.0,60.5,5.7,2,2,244,250,5.3,13,24
Quandre Diggs,9633,S,SEA,8,3,5.1,0,0,29,64.4,66.1,88.7,55.0,64.7,64.0,16.7,3,0,127,131,3.1,4,12
Rakeem Nunez-Roches,9650,DI,NYG,9,6,3.5,0,0,21,60.0,51.2,58.1,65.1,48.9,63.8,5.6,1,1,128,132,5.5,7,11
Neville Hewitt,9836,LB,NYG,1,0,,0,0,21,61.9,64.5,71.1,58.3,61.2,,,0,0,2,2,0.0,0,0
Alex Singleton,9994,LB,DEN,18,41,2.9,0,2,10,55.2,72.0,86.2,62.8,88.5,75.4,6.9,7,0,411,422,8.8,36,53
Joey Bosa,10637,ED,BUF,17,4,1.4,2,1,4,61.9,74.6,43.0,85.5,52.0,26.5,30.3,10,5,228,232,6.6,15,19
Jalen Ramsey,10639,S,PIT,18,6,10.1,3,0,25,58.8,64.4,47.0,65.7,81.2,86.4,2.8,1,7,440,450,2.0,9,29
DeForest Buckner,10641,DI,IND,10,10,2.4,0,0,14,69.4,74.0,86.7,74.9,56.3,70.7,5.0,2,0,148,150,9.5,14,28
Leonard Floyd,10643,ED,ATL,15,6,1.3,0,0,2,51.9,60.1,58.0,61.8,60.0,44.8,14.3,2,2,145,150,3.4,5,6
Sheldon Rankins,10646,DI,HST,19,11,2.0,0,0,13,67.1,70.8,88.2,67.5,61.2,62.2,3.0,1,0,231,237,6.9,16,21
Kenny Clark,10661,DI,DAL,17,11,1.4,0,0,9,61.3,67.6,87.8,72.4,53.7,51.7,6.9,2,0,272,282,4.8,13,16
Emmanuel Ogbah,10666,ED,JAX,13,4,1.6,0,0,15,56.8,45.9,87.2,51.7,42.1,77.7,0.0,0,0,121,124,2.5,3,7
Chris Jones,10671,DI,KC,17,4,1.3,2,0,16,56.3,70.5,9.5,90.7,43.4,34.0,12.0,3,9,258,265,5.8,15,18
Xavien Howard,10672,CB,IND,4,1,4.0,0,0,14,34.2,36.1,82.4,,51.4,54.2,0.0,0,4,69,70,1.4,1,1
Austin Johnson,10677,DI,JAX,14,2,2.9,0,0,15,64.6,47.5,83.4,54.8,41.5,45.4,16.7,2,0,87,92,8.0,7,8
Jihad Ward,10678,ED,TEN,17,3,1.9,1,0,31,65.0,50.8,17.9,56.4,53.6,40.7,21.1,4,7,259,267,3.5,9,12
A'Shawn Robinson,10680,DI,CAR,18,19,2.9,0,0,5,73.1,63.7,66.5,62.5,61.0,59.5,6.0,4,2,318,327,10.4,33,44
Jarran Reed,10683,DI,SEA,16,10,3.0,0,0,29,69.6,62.3,86.8,59.7,57.4,78.8,0.0,0,0,177,183,7.9,14,25
Deion Jones,10686,LB,TB,10,3,3.3,0,0,30,49.0,41.6,78.7,69.3,30.7,56.8,14.3,1,0,38,38,7.9,3,3
Adam Gotsis,10697,DI,TB,2,0,,0,0,30,,42.6,75.1,52.0,46.0,,,0,0,12,12,0.0,0,0
Kevin Byard,10698,S,CHI,19,19,9.6,0,0,6,71.6,75.4,89.0,49.1,82.6,71.0,10.0,7,0,477,487,2.9,14,44
Maliek Collins,10701,DI,CLV,12,3,1.6,0,0,8,52.8,74.5,55.6,87.2,57.2,28.4,22.7,5,2,176,180,6.3,11,14
Jonathan Bullard,10706,DI,NO,15,6,1.8,0,0,20,60.4,58.9,45.3,52.0,63.9,77.6,0.0,0,2,205,209,6.8,14,18
