player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
James Cook,83666,HB,BUF,19,348,64,17,25.7,459,0,1784,3,8,64,1050,56.4,45,76,4,7,175,35.2,80.7,60.1,,41.9,59.2,82.1,54.2,64,1,320,37,297,391,0,0,44,385,12,1784,1050,3.02,5.1,1.08,172
Christian McCaffrey,11763,HB,SF,19,337,50,11,16.7,214,0,1285,5,24,50,926,45.2,28,72,28,2,90,83.5,77.2,91.4,60.0,41.9,91.7,66.3,51.9,41,0,1029,113,567,372,0,0,135,450,10,1285,926,2.75,3.8,1.81,232
Jonathan Taylor,57488,HB,IND,17,323,67,16,33.1,524,0,1585,4,9,67,1136,72.4,36,84,14,2,187,80.6,78.6,68.2,,58.6,52.9,84.1,53.4,83,1,378,46,412,363,0,0,54,369,18,1585,1136,3.52,4.9,0.92,131
Derrick Henry,10679,HB,BLT,17,307,43,21,37.9,605,0,1595,1,5,43,1103,53.6,36,79,3,4,111,56.9,80.4,85.6,48.9,65.9,59.1,79.4,56.4,59,1,150,15,154,348,0,0,19,322,16,1595,1103,3.59,5.2,0.97,193
Saquon Barkley,45791,HB,PHI,17,306,56,14,29.9,373,1,1246,4,11,56,812,51.4,29,54,24,1,104,88.2,67.9,91.1,,44.4,46.8,76.0,31.6,65,2,298,40,351,360,0,0,52,346,7,1246,812,2.65,4.1,0.85,188
Kyren Williams,97118,HB,LA,20,303,51,12,17.2,247,1,1435,2,4,51,926,48.4,29,81,26,2,156,79.9,85.2,88.1,,64.7,64.4,87.1,57.9,34,1,351,44,402,338,0,0,53,347,12,1435,926,3.06,4.7,0.87,141
Bijan Robinson,123126,HB,ATL,17,287,86,16,31.9,472,0,1478,3,26,86,1133,120.8,36,63,2,4,63,49.4,86.6,90.7,,30.4,88.1,83.4,41.9,93,1,820,79,437,317,0,0,99,366,7,1478,1133,3.95,5.1,1.88,216
Kenneth Walker III,97199,HB,SEA,20,286,77,22,36.3,487,0,1340,3,12,77,875,83.5,42,63,29,1,101,87.5,91.4,57.6,,36.0,71.4,91.5,54.5,55,1,386,40,236,320,0,0,45,326,9,1340,875,3.06,4.7,1.64,176
Travis Etienne Jr.,57185,HB,JAX,18,270,46,10,27.9,327,0,1174,4,13,46,831,58.4,28,51,15,1,121,76.5,74.2,89.5,,68.0,62.1,74.5,64.3,71,0,341,41,291,328,0,0,52,311,7,1174,831,3.08,4.3,1.17,133
Ashton Jeanty,157196,HB,LV,17,266,61,5,17.7,173,1,975,4,23,61,815,80.2,24,44,23,2,88,66.8,70.4,63.9,,34.1,66.7,73.1,53.6,64,2,346,55,359,304,0,0,68,321,5,975,815,3.06,3.7,0.96,168
