player_name,team,position,games_played,targets,receptions,catch_rate,rec_yards,yards_per_reception,yards_per_target,rec_tds,first_downs,longest_rec,yards_after_catch,fumbles,player_id
Ja'Marr Chase,CIN,WR,17,169,110,65.1,1612,14.7,9.5,13,78,67,644.8,2,1
CeeDee Lamb,DAL,WR,16,158,107,67.7,1434,13.4,9.1,10,72,62,573.6,1,2
Tyreek Hill,MIA,WR,16,152,98,64.5,1378,14.1,9.1,8,65,75,551.2,1,3
Amon-Ra St. Brown,DET,WR,17,148,108,73.0,1356,12.6,9.2,10,71,54,542.4,0,4
Puka Nacua,LAR,WR,15,141,100,70.9,1298,13.0,9.2,7,66,58,519.2,1,5
A.J. Brown,PHI,WR,14,132,85,64.4,1245,14.6,9.4,9,58,72,498.0,1,6
Justin Jefferson,MIN,WR,17,156,103,66.0,1502,14.6,9.6,11,74,68,600.8,0,7
Nico Collins,HOU,WR,13,118,78,66.1,1189,15.2,10.1,8,55,71,475.6,1,8
Davante Adams,NYJ,WR,16,144,96,66.7,1187,12.4,8.2,9,62,53,474.8,0,9
Stefon Diggs,HOU,WR,14,127,82,64.6,1043,12.7,8.2,6,52,55,417.2,1,10
DK Metcalf,SEA,WR,17,140,89,63.6,1267,14.2,9.1,10,60,73,506.8,2,11
Chris Olave,NO,WR,15,138,88,63.8,1124,12.8,8.1,6,57,59,449.6,1,12
Garrett Wilson,NYJ,WR,17,154,98,63.6,1198,12.2,7.8,7,61,52,479.2,1,13
DeVonta Smith,PHI,WR,17,139,93,66.9,1176,12.6,8.5,7,60,56,470.4,0,14
DJ Moore,CHI,WR,16,135,87,64.4,1095,12.6,8.1,6,55,61,438.0,1,15
Jaylen Waddle,MIA,WR,16,128,84,65.6,1067,12.7,8.3,5,51,64,426.8,0,16
Terry McLaurin,WAS,WR,17,137,88,64.2,1203,13.7,8.8,8,59,69,481.2,1,17
Brandon Aiyuk,SF,WR,14,112,75,67.0,1023,13.6,9.1,7,49,62,409.2,0,18
Tank Dell,HOU,WR,13,108,71,65.7,978,13.8,9.1,7,46,70,391.2,1,19
Rashee Rice,KC,WR,11,98,68,69.4,876,12.9,8.9,5,43,48,350.4,0,20
Mike Evans,TB,WR,15,131,79,60.3,1156,14.6,8.8,11,56,65,462.4,1,21
Amari Cooper,BUF,WR,16,119,74,62.2,987,13.3,8.3,5,48,57,394.8,0,22
Keenan Allen,CHI,WR,15,124,85,68.5,978,11.5,7.9,4,52,43,391.2,0,23
Diontae Johnson,HOU,WR,14,110,72,65.5,834,11.6,7.6,3,42,46,333.6,1,24
Zay Flowers,BAL,WR,17,143,95,66.4,1145,12.1,8.0,6,58,54,458.0,1,25
Drake London,ATL,WR,17,145,94,64.8,1178,12.5,8.1,8,61,57,471.2,0,26
Michael Pittman Jr,IND,WR,16,132,84,63.6,1012,12.0,7.7,5,53,49,404.8,1,27
