player_id,player_name,position,team,games_played,rush_attempts,rush_yards,yards_per_carry,rush_tds,first_downs,longest_rush,fumbles,receptions,rec_yards,rec_tds,targets,touches,yards_per_touch,total_tds,success_rate
1,Saquon Barkley,RB,PHI,17,345,1827,5.3,13,98,68,3,42,330,2,54,387,5.6,15,50.0
2,Derrick Henry,RB,BAL,17,325,1783,5.5,16,91,75,2,28,215,1,35,353,5.7,17,50.0
3,Josh Jacobs,RB,GB,17,298,1456,4.9,15,82,58,2,36,312,2,48,334,5.3,17,50.0
4,Jahmyr Gibbs,RB,DET,17,248,1319,5.3,12,72,72,1,58,505,3,72,306,6.0,15,50.0
5,Bijan Robinson,RB,ATL,17,295,1498,5.1,11,84,63,2,54,436,3,68,349,5.5,14,50.0
6,Kyren Williams,RB,LAR,16,270,1188,4.4,12,66,42,4,38,285,1,49,308,4.8,13,50.0
7,Jonathan Taylor,RB,IND,16,282,1347,4.8,10,76,56,1,30,248,2,41,312,5.1,12,50.0
8,De'Von Achane,RB,MIA,14,198,1105,5.6,8,58,76,2,52,468,4,65,250,6.3,12,50.0
9,Joe Mixon,RB,HOU,17,301,1371,4.6,12,75,48,3,34,265,1,44,335,4.9,13,50.0
10,Aaron Jones,RB,MIN,16,252,1190,4.7,9,65,52,1,46,378,3,57,298,5.3,12,50.0
11,James Cook,RB,BUF,17,265,1283,4.8,14,70,54,2,32,246,2,43,297,5.1,16,50.0
12,Breece Hall,RB,NYJ,17,272,1198,4.4,7,63,46,3,55,410,3,71,327,4.9,10,50.0
13,Tony Pollard,RB,TEN,16,255,1136,4.5,8,61,51,2,31,228,1,40,286,4.8,9,50.0
14,Najee Harris,RB,PIT,17,276,1142,4.1,8,62,38,2,26,192,1,34,302,4.4,9,50.0
15,Isiah Pacheco,RB,KC,13,210,1002,4.8,7,53,45,1,22,175,1,28,232,5.1,8,50.0
16,David Montgomery,RB,DET,14,185,892,4.8,10,50,34,1,18,132,1,24,203,5.0,11,50.0
17,Alvin Kamara,RB,NO,16,228,978,4.3,6,52,35,2,62,488,4,80,290,5.1,10,50.0
18,Chuba Hubbard,RB,CAR,17,266,1210,4.5,9,67,48,3,27,198,1,36,293,4.8,10,50.0
19,Kenneth Walker III,RB,SEA,15,234,1078,4.6,7,57,55,2,22,168,1,30,256,4.9,8,50.0
20,Travis Etienne,RB,JAX,16,237,1024,4.3,6,54,42,3,38,295,2,50,275,4.8,8,50.0
21,Rhamondre Stevenson,RB,NE,16,248,1062,4.3,7,56,40,4,28,208,1,38,276,4.6,8,50.0
22,Javonte Williams,RB,DEN,16,218,942,4.3,5,48,38,2,30,225,2,42,248,4.7,7,50.0
23,Rachaad White,RB,TB,17,235,1015,4.3,6,52,44,3,45,348,2,58,280,4.9,8,50.0
24,D'Andre Swift,RB,CHI,15,208,926,4.5,5,47,50,2,35,272,1,46,243,4.9,6,50.0
25,James Conner,RB,ARI,15,225,1048,4.7,8,56,46,1,24,185,1,32,249,5.0,9,50.0
26,Zack Moss,RB,CIN,14,212,918,4.3,7,49,36,2,18,128,0,24,230,4.5,7,50.0
27,Tyler Allgeier,RB,ATL,17,195,856,4.4,6,44,32,1,14,98,0,18,209,4.6,6,50.0
28,Jerome Ford,RB,CLE,16,188,812,4.3,4,41,38,3,32,242,1,42,220,4.8,5,50.0
29,Rico Dowdle,RB,DAL,17,246,1098,4.5,7,59,44,2,28,215,1,37,274,4.8,8,50.0
30,Brian Robinson Jr.,RB,WAS,16,232,1032,4.4,8,55,42,2,16,112,0,22,248,4.6,8,50.0
31,Gus Edwards,RB,LAC,15,172,748,4.3,6,38,28,1,10,68,0,14,182,4.5,6,50.0
32,Alexander Mattison,RB,LV,16,195,824,4.2,5,42,34,2,20,148,1,28,215,4.5,6,50.0
33,Zamir White,RB,LV,14,168,715,4.3,4,36,40,3,12,86,0,16,180,4.5,4,50.0
34,Raheem Mostert,RB,MIA,12,142,628,4.4,5,32,38,1,18,135,1,24,160,4.8,6,50.0
35,Dameon Pierce,RB,HOU,14,148,602,4.1,3,30,28,2,12,82,0,16,160,4.3,3,50.0
36,Chase Brown,RB,CIN,17,224,1068,4.8,8,58,52,2,36,278,2,47,260,5.2,10,50.0
37,Ty Chandler,RB,MIN,16,152,685,4.5,4,34,42,1,22,168,1,30,174,4.9,5,50.0
38,Roschon Johnson,RB,CHI,16,138,578,4.2,3,28,32,1,18,128,1,24,156,4.5,4,50.0
39,Jaylen Warren,RB,PIT,15,158,692,4.4,4,35,36,1,34,265,2,44,192,5.0,6,50.0
40,Devin Singletary,RB,NYG,16,210,898,4.3,6,46,38,2,24,178,1,32,234,4.6,7,50.0
