player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Matthew Stafford,4924,QB,LA,20,72.3,672,716,9.8,2.73,6,58,7.7,63.4,454,0,240,6.6,755,32,285,26,62.9,91.9,91.7,37.4,8,9,797,5,12.1,106.7,3.8,29,9,4,26,52,27,3.4,5643,7.9
Caleb Williams,144622,QB,CHI,19,69.4,592,658,9.2,3.23,17,37,5.4,57.3,377,0,261,8.3,737,34,240,6,66.0,76.9,72.2,82.1,3,12,780,10,9.6,86.8,3.4,25,49,2,44,31,24,3.1,4560,6.9
Bo Nix,97790,QB,DEN,18,75.5,601,658,8.0,2.83,16,35,5.0,62.9,414,1,232,8.8,730,40,221,10,73.1,77.1,76.1,65.3,7,12,771,9,9.5,87.8,3.0,22,38,1,33,28,22,2.9,4210,6.4
Drake Maye,143969,QB,NE,21,77.0,574,612,9.7,3.08,8,32,4.9,69.3,424,0,284,4.1,755,18,271,19,29.5,80.7,76.6,79.7,6,12,797,2,23.9,107.4,9.0,68,74,0,24,37,26,3.3,5222,8.5
Dak Prescott,10769,QB,DAL,17,76.6,564,600,8.6,2.78,13,31,4.8,67.3,404,0,233,6.5,659,28,230,9,66.9,86.9,85.4,61.3,6,10,712,5,13.3,99.5,4.7,31,26,3,14,30,19,2.7,4552,7.6
Trevor Lawrence,77632,QB,JAX,18,73.5,543,590,9.5,2.9,20,30,4.8,60.8,359,0,256,10.0,682,40,225,15,70.6,83.7,80.5,77.4,11,14,725,9,16.4,90.7,6.2,42,44,3,13,32,24,3.3,4214,7.1
Jared Goff,10635,QB,DET,17,80.2,514,578,7.0,2.57,16,16,2.7,68.0,393,0,224,4.6,623,19,225,11,69.6,77.7,76.8,52.6,10,8,648,5,17.0,105.5,6.1,38,5,2,36,34,13,2.0,4564,7.9
Sam Darnold,29048,QB,SEA,20,77.1,512,568,8.9,2.74,16,34,5.7,66.7,379,0,222,4.1,625,16,223,29,38.9,79.0,79.9,41.6,7,14,660,5,14.9,99.6,5.3,33,16,4,29,30,21,3.2,4720,8.3
Baker Mayfield,46518,QB,TB,17,71.9,512,543,8.6,2.89,9,28,4.8,63.2,343,0,222,6.8,630,25,198,30,41.4,70.0,64.8,86.8,8,11,680,5,16.2,90.6,5.7,36,43,1,13,26,28,4.1,3693,6.8
Justin Herbert,28237,QB,LAC,17,76.0,504,543,8.3,2.96,7,22,3.9,66.1,359,0,288,6.3,660,24,206,27,56.1,78.0,73.0,82.7,11,13,691,5,20.8,93.0,9.1,60,56,0,21,26,18,2.6,3886,7.2
Cam Ward,133244,QB,TEN,17,70.7,485,540,7.8,2.98,9,21,3.7,59.8,323,0,230,5.8,623,20,163,31,30.0,58.5,56.4,70.1,6,7,662,3,23.9,80.2,8.8,55,24,3,37,15,23,3.5,3169,5.9
Josh Allen,46601,QB,BUF,18,78.2,510,534,7.8,2.99,6,29,5.1,69.7,372,0,237,6.8,642,27,223,4,70.0,90.5,84.0,90.8,4,12,677,5,18.6,101.8,6.9,44,59,1,13,29,16,2.4,4224,7.9
Aaron Rodgers,2241,QB,PIT,17,75.2,487,531,6.6,2.58,9,27,4.8,64.8,344,0,154,6.0,579,22,153,25,52.9,68.0,68.8,42.7,7,8,612,6,21.4,92.1,5.7,33,12,2,26,24,16,2.6,3468,6.5
Bryce Young,123943,QB,CAR,17,76.7,454,518,7.2,2.84,10,25,4.5,62.7,325,1,220,6.6,586,23,181,5,56.5,71.0,68.2,72.6,9,12,626,6,13.2,86.5,4.9,29,35,2,43,24,17,2.7,3275,6.3
Patrick Mahomes,11765,QB,KC,14,73.3,461,502,8.3,2.93,9,23,4.3,62.7,315,0,205,6.8,594,23,197,16,70.2,76.0,70.7,86.7,4,11,636,5,16.6,89.6,5.7,34,53,2,26,22,20,3.1,3587,7.1
C.J. Stroud,129759,QB,HST,16,69.4,461,502,8.6,2.81,7,18,3.3,62.5,314,0,209,1.9,559,6,167,13,60.7,65.0,62.0,73.2,8,13,604,4,13.9,86.4,5.2,29,28,3,23,21,23,3.8,3503,7.0
Jalen Hurts,40291,QB,PHI,17,74.2,445,489,9.2,3.05,6,24,4.6,64.2,314,0,202,4.8,569,16,172,24,61.2,78.7,76.4,71.6,7,6,602,5,16.3,97.1,5.8,33,40,2,29,26,12,2.0,3392,6.9
Jordan Love,40306,QB,GB,16,76.8,436,485,9.4,2.82,6,30,5.9,64.9,315,0,209,6.0,542,20,185,12,62.9,88.8,88.7,54.5,9,6,572,5,10.5,101.4,4.1,22,25,1,33,27,15,2.6,3704,7.6
Jacoby Brissett,10725,QB,ARZ,13,74.7,443,485,8.1,2.97,3,17,3.3,64.9,315,0,225,4.8,550,16,173,1,52.2,70.6,68.6,68.9,7,8,581,3,19.1,94.1,7.8,43,22,1,31,23,16,2.8,3366,6.9
Geno Smith,7820,QB,LV,15,76.9,415,448,6.9,2.79,8,14,3.0,67.4,302,0,212,5.3,524,17,154,23,67.4,60.9,58.2,70.3,7,17,557,4,25.9,84.7,10.5,55,18,2,16,19,23,4.1,3025,6.8
Joe Flacco,4332,QB,CIN,12,73.0,374,416,7.6,2.6,5,16,3.6,60.3,251,1,148,8.1,438,22,118,7,60.2,68.0,66.8,76.1,7,10,466,8,12.2,79.2,4.1,18,4,4,26,15,15,3.2,2479,6.0
Daniel Jones,39395,QB,IND,13,76.2,362,384,8.6,2.76,7,13,3.1,68.0,261,0,151,5.4,429,15,157,14,50.5,71.7,68.7,73.7,5,8,460,5,14.6,100.2,5.1,22,23,2,8,19,18,3.9,3101,8.1
Tua Tagovailoa,60326,QB,MIA,14,76.5,362,384,7.2,2.55,4,18,4.4,67.7,260,0,131,6.1,440,17,143,17,45.4,62.1,65.8,27.0,1,15,465,4,22.9,88.5,6.8,30,12,2,15,20,25,5.4,2660,6.9
